ENTREZID	PROBEID	GENENAME	SYMBOL	ENSEMBL	logFC	AveExpr	t	P.Value	adj.P.Val	B	test
39	2934131	acetyl-CoA acetyltransferase 2	ACAT2	ENSG00000120437	-0.637777777777774	8.09111111111111	-6.22490152839308	6.36303381388021e-06	0.00168743056960623	6.23394943907939	-1
3949	3821015	low density lipoprotein receptor	LDLR	ENSG00000130164	-0.558888888888884	7.315	-7.02139749977467	1.29304380316239e-06	0.000632470825586828	7.5829719941427	-1
4037	3829242	LDL receptor related protein 3	LRP3	ENSG00000130881	0.363333333333335	5.345	3.66534879746107	0.00170984642475249	0.024067224919548	1.30304679953196	1
4041	3337516	LDL receptor related protein 5	LRP5	ENSG00000162337	0.214444444444446	5.12611111111111	3.27219939726267	0.00412570145611922	0.0385936314282364	0.518090484832454	1
47	3757433	ATP citrate lyase	ACLY	ENSG00000131473	-0.366666666666667	6.77111111111111	-4.03477273952252	0.000743706000692615	0.0158621247880282	2.04658479010766	-1
4802	2332013	nuclear transcription factor Y subunit gamma	NFYC	ENSG00000066136	-0.412222222222217	7.04833333333333	-3.90809850832364	0.000989486714972406	0.0184611452171301	1.79154761585508	-1
50814	3995371	NAD(P) dependent steroid dehydrogenase-like	NSDHL	ENSG00000147383	-0.491111111111107	8.01444444444444	-3.68172432353632	0.00164796808908506	0.0236771707629577	1.33595494098012	-1
51141	2502424	insulin induced gene 2	INSIG2	ENSG00000125629	-0.385555555555554	7.98055555555556	-3.34447030447873	0.00351176244120673	0.0352956178508682	0.661388203406467	-1
5336	3670918	phospholipase C gamma 2	PLCG2	ENSG00000197943	-0.308888888888887	6.25111111111111	-3.21317945212368	0.00470415528394484	0.0411106942863383	0.401524554718254	-1
5465	3948953	peroxisome proliferator activated receptor alpha	PPARA	ENSG00000186951	-0.203333333333332	5.325	-3.0849337968143	0.00624780184914842	0.048490961389847	0.149895111043678	-1
55361	3259978	phosphatidylinositol 4-kinase type 2 alpha	PI4K2A	ENSG00000155252	-0.493333333333333	6.20222222222222	-5.29987588704243	4.48745587163023e-05	0.00415306515284298	4.53791369652094	-1
55902	3883064	acyl-CoA synthetase short chain family member 2	ACSS2	ENSG00000131069	-0.558888888888887	6.44388888888889	-4.78545243308984	0.000138565038510177	0.00702754622729843	3.54286696054022	-1
55911	3686635	apolipoprotein B receptor	APOBR	ENSG00000184730	-1.18888888888889	5.84555555555556	-5.44997034217282	3.24594507349947e-05	0.00365652589432287	4.82183418608293	-1
5742	3188111	prostaglandin-endoperoxide synthase 1	PTGS1	ENSG00000095303	-0.395555555555555	7.56222222222222	-4.56358969739526	0.000226932753853836	0.0088966134557951	3.10482112368084	-1
6256	3193339	retinoid X receptor alpha	RXRA	ENSG00000186350	-0.351111111111111	7.05111111111111	-4.27446318345408	0.000433631804650979	0.0122207087080773	2.52806653139333	-1
6257	2950474	retinoid X receptor beta	RXRB	ENSG00000204231	-0.343333333333332	6.07722222222222	-3.20118541796848	0.00483106429488195	0.0417351780150493	0.37789098687949	-1
6307	2750594	methylsterol monooxygenase 1	MSMO1	ENSG00000052802	-0.96222222222222	7.32222222222222	-10.0115743762269	6.85367018029137e-09	2.069598745471e-05	11.7152497038391	-1
6309	3352904	sterol-C5-desaturase	SC5D	ENSG00000109929	-0.607777777777774	5.69722222222222	-4.43840659453557	0.000300205429053974	0.0100575672738311	2.85580460605867	-1
6319	3260586	stearoyl-CoA desaturase	SCD	ENSG00000099194	-0.393333333333333	9.94222222222222	-5.31123959992992	4.37837827742843e-05	0.00408357984171513	4.55951835565552	-1
6667	3415969	Sp1 transcription factor	SP1	ENSG00000185591	-0.292222222222219	7.55277777777778	-4.57187823227286	0.00022277478459749	0.0088966134557951	3.1212653183373	-1
7351	3381817	uncoupling protein 2	UCP2	ENSG00000175567	-0.473333333333331	8.67333333333333	-3.40210088304859	0.00308738868761386	0.0330849622215524	0.776047583283683	-1
8394	2358761	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha	PIP5K1A	ENSG00000143398	-0.468888888888884	7.01333333333333	-3.96711707217437	0.000866216884346733	0.0171459530947445	1.9103924400258	-1
8396	3755359	phosphatidylinositol-5-phosphate 4-kinase type 2 beta	PIP4K2B	ENSG00000276293	-0.225555555555554	7.16055555555556	-3.14368026687004	0.00548752072381167	0.0451029942687897	0.264858189444698	-1
857	3020302	caveolin 1	CAV1	ENSG00000105974	0.307777777777779	3.41611111111111	3.29857148621018	0.00389034303789727	0.0373274600092025	0.57031300931027	1
859	2609462	caveolin 3	CAV3	ENSG00000182533	0.446666666666667	4.80666666666667	3.85050719299995	0.00112666885465546	0.0195753198374967	1.67557288315472	1
8612	3844470	phospholipid phosphatase 2	PLPP2	ENSG00000141934	0.414444444444446	5.90388888888889	4.3502932611028	0.000365749199842145	0.0111766376347408	2.67986020875307	1
8613	2414366	phospholipid phosphatase 3	PLPP3	ENSG00000162407	0.247777777777778	5.295	3.36106106869866	0.00338403182721588	0.0347505812329032	0.694363181422935	1
8760	3874900	CDP-diacylglycerol synthase 2	CDS2	ENSG00000101290	-0.28111111111111	7.67722222222222	-3.78326721711927	0.0013110395551487	0.0211408730024747	1.54020379103398	-1
91734	3231774	isopentenyl-diphosphate delta isomerase 2	IDI2	ENSG00000148377	-0.258888888888881	8.05833333333333	-3.9718311153037	0.000857060745152165	0.0169952829383282	1.91988393442006	-1
9663	3796335	lipin 2	LPIN2	ENSG00000101577	-0.23111111111111	6.69	-4.36436603230834	0.000354384150924354	0.0110174428615762	2.70799398467743	-1
9791	3108072	phosphatidylserine synthase 1	PTDSS1	ENSG00000156471	-0.376666666666665	8.69055555555556	-4.18195534902523	0.000533893610843558	0.0134162132707446	2.34249424054963	-1
9885	3892565	oxysterol binding protein like 2	OSBPL2	ENSG00000130703	-0.369999999999998	7.84388888888889	-5.04700774314043	7.78608261523766e-05	0.00515787079515796	4.05277824245901	-1
