ENTREZID	GENENAME	SYMBOL	L.donovani_4vsControl_logFC	L.donovani_4vsControl_test	L.donovani_8vsControl_logFC	L.donovani_8vsControl_test	L.donovani_24vsControl_logFC	L.donovani_24vsControl_test	logFC
2130	EWS RNA binding protein 1	EWSR1	0.0444349661078629	0	0.0593533151245982	0	-0.27904636405952	-1	-0.32333333333333
2185	protein tyrosine kinase 2 beta	PTK2B	-0.33573364781221	0	0.328373663363864	0	0.637113778987738	1	-0.330000000000002
2222	farnesyl-diphosphate farnesyltransferase 1	FDFT1	-0.623564578071679	0	-0.857950688099898	-1	-0.286759530362231	0	-0.558888888888887
2268	FGR proto-oncogene, Src family tyrosine kinase	FGR	0.601774370292047	1	0.801946482249415	1	0.741323124343799	1	-0.307777777777776
2288	FKBP prolyl isomerase 4	FKBP4	1.24538650538256	1	0.979591927492992	1	0.404747393052688	0	-0.379999999999999
2313	Fli-1 proto-oncogene, ETS transcription factor	FLI1	-1.15948729412322	-1	-0.985568695400078	-1	-0.942280541884358	-1	-0.437777777777776
2317	filamin B	FLNB	1.79443178002677	1	2.02347187306258	1	1.00740214065043	0	-0.367777777777773
2342	farnesyltransferase, CAAX box, beta	FNTB	-0.937578533099501	-1	-0.772355115257191	-1	-0.204849966297033	0	-0.308888888888887
2526	fucosyltransferase 4	FUT4	0.629690460835928	0	0.538629656361369	0	0.881247252084142	1	0.296666666666667
2717	galactosidase alpha	GLA	0.259190370071547	0	0.299344077724044	0	0.346402669864679	1	-0.208888888888888
2734	golgi glycoprotein 1	GLG1	-0.346319960035508	0	-0.417211042602228	-1	-0.0694077685048118	0	-0.37555555555555
2747	glutamate dehydrogenase 2	GLUD2	0.00831244844394874	0	0.00153726069202698	0	-0.33787682687684	-1	-0.365555555555552
2771	G protein subunit alpha i2	GNAI2	-0.204737268107332	0	-0.398594714473123	-1	-0.41896967137386	-1	-0.294444444444439
2799	glucosamine (N-acetyl)-6-sulfatase	GNS	-0.12953561389439	0	-0.03363901104089	0	0.278628931672731	1	-0.358888888888886
2889	Rap guanine nucleotide exchange factor 1	RAPGEF1	0.397505600537325	0	0.543144329269337	1	0.308961701195553	0	-0.395555555555552
2937	glutathione synthetase	GSS	-0.304357788799928	0	-0.335375145943035	-1	0.0023186643076869	0	-0.472222222222217
2962	general transcription factor IIF subunit 1	GTF2F1	-0.311064283795815	0	-0.395260427480357	-1	-0.50757314330764	-1	-0.399999999999993
3033	hydroxyacyl-CoA dehydrogenase	HADH	-0.680835642655813	0	-1.2651744320642	-1	-1.36887973843454	-1	-0.404444444444442
3052	holocytochrome c synthase	HCCS	-0.485025872243622	-1	-0.416225370299619	-1	-0.273450731460647	0	-0.232222222222221
3096	HIVEP zinc finger 1	HIVEP1	1.09641924677406	1	0.895530045385925	1	1.30958954021921	1	-0.373333333333332
3178	heterogeneous nuclear ribonucleoprotein A1	HNRNPA1	-0.184873550475563	0	-0.207222612421564	0	-0.425126413617088	-1	-0.606666666666665
3275	protein arginine methyltransferase 2	PRMT2	-0.709228827493673	-1	-0.673042206847825	-1	-0.413243536029855	0	-0.456666666666663
3396	mitochondrial ribosomal protein L58	MRPL58	-0.607124053256245	0	-0.651045438851355	-1	-0.243129669272109	0	-0.317777777777771
3423	iduronate 2-sulfatase	IDS	-0.203341105416337	0	-0.31345249072613	0	-0.381438911503091	-1	-0.341111111111108
3437	interferon induced protein with tetratricopeptide repeats 3	IFIT3	0.705898314047236	0	1.82970436370592	1	1.67902651277875	1	-0.249999999999996
3551	inhibitor of nuclear factor kappa B kinase subunit beta	IKBKB	-0.401992889273927	0	-0.477481846369933	-1	-0.3567057047345	0	-0.322222222222219
3553	interleukin 1 beta	IL1B	1.23319942884105	0	1.00512804985341	0	2.05579384636748	1	0.215555555555552
3575	interleukin 7 receptor	IL7R	0.649277042081446	1	0.495128182151092	0	0.483972127675237	0	-0.353333333333329
3576	C-X-C motif chemokine ligand 8	CXCL8	1.90182465860368	1	1.73771973103699	1	2.01983556028413	1	0.291111111111116
3603	interleukin 16	IL16	-0.369075754528387	0	-0.340094677797168	0	-0.827868148414538	-1	-0.194444444444445
3614	inosine monophosphate dehydrogenase 1	IMPDH1	-0.305637257530153	0	-0.363904890349911	-1	-0.329601186384382	0	0.330000000000003
3635	inositol polyphosphate-5-phosphatase D	INPP5D	-0.975515682101319	0	-1.48809895779448	-1	-0.799509305730149	0	-0.312222222222219
3646	eukaryotic translation initiation factor 3 subunit E	EIF3E	-0.195784373748717	0	-0.379197776187596	-1	-0.403118590711928	-1	-0.437777777777776
3654	interleukin 1 receptor associated kinase 1	IRAK1	0.517951200240963	1	0.472524390384923	1	0.359510668627244	0	-0.326666666666666
3678	integrin subunit alpha 5	ITGA5	0.496618662280632	1	0.531013603342988	1	0.289142787786032	0	-0.44222222222222
3687	integrin subunit alpha X	ITGAX	0.264836567706078	0	0.303203670827719	0	0.437965690983361	1	-0.462222222222216
3708	inositol 1,4,5-trisphosphate receptor type 1	ITPR1	0.622929291200773	1	0.744028430230049	1	1.0248592570745	1	-0.353333333333333
3831	kinesin light chain 1	KLC1	0.535615477412495	1	0.331326078742004	0	-0.110180830678756	0	-0.288888888888886
4005	LIM domain only 2	LMO2	-0.667046916543987	0	-0.910930920059053	-1	-0.843988913483743	-1	0.194444444444444
4048	leukotriene A4 hydrolase	LTA4H	-0.680831084797951	-1	-0.915344967418752	-1	0.600445499975468	0	-0.496666666666664
4189	DnaJ heat shock protein family (Hsp40) member B9	DNAJB9	1.05971495163342	1	0.687041892075653	1	0.400349293969983	0	-0.294444444444442
4204	methyl-CpG binding protein 2	MECP2	0.723487897515401	1	0.497885639572649	1	0.503072358664179	0	-0.326666666666666
4205	myocyte enhancer factor 2A	MEF2A	0.559523160123042	1	0.545580944419669	1	-0.119782775584303	0	-0.314444444444444
4321	matrix metallopeptidase 12	MMP12	0.490820423021297	1	0.367935607104757	0	0.164891092846805	0	0.456666666666667
4332	myeloid cell nuclear differentiation antigen	MNDA	-0.572045858852171	0	-0.787843872696472	-1	-0.259599871564635	0	-0.625555555555555
4524	methylenetetrahydrofolate reductase	MTHFR	-0.498028956250666	-1	-0.207930358606045	0	-0.2508429873767	0	-0.473333333333333
4534	myotubularin 1	MTM1	-0.555310914473743	-1	-0.503921154320338	0	-0.00329293988844981	0	-0.329999999999997
4552	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	MTRR	0.564139793312972	1	0.50522800972114	1	0.952434580227566	1	-0.312222222222223
4643	myosin IE	MYO1E	0.344518431293183	0	0.319122174851413	0	-0.517410602547384	-1	-0.301111111111111
4689	neutrophil cytosolic factor 4	NCF4	-0.563873372596138	0	-1.11551880655037	-1	-0.554837845689171	0	-0.605555555555553
4695	NADH:ubiquinone oxidoreductase subunit A2	NDUFA2	-0.300078838218855	0	-0.369724288879826	-1	-0.120248465698106	0	-0.42777777777777
4720	NADH:ubiquinone oxidoreductase core subunit S2	NDUFS2	-0.472885279438252	-1	-0.542838806096263	-1	-0.0368085257277677	0	-0.285555555555558
4783	nuclear factor, interleukin 3 regulated	NFIL3	0.87168096652629	1	0.306820488230358	0	0.920004876149699	1	-0.32333333333333
4817	nitrilase 1	NIT1	-0.29416066944477	-1	-0.145964137218936	0	0.148097416258642	0	-0.504444444444439
4848	CCR4-NOT transcription complex subunit 2	CNOT2	-0.631175032502231	-1	-0.410491847454965	0	-0.18253261380093	0	-0.305555555555554
4939	2'-5'-oligoadenylate synthetase 2	OAS2	-0.19780736636045	0	0.691283297284368	0	1.09670891555027	1	-0.412222222222216
5025	purinergic receptor P2X 4	P2RX4	0.804310504158748	1	1.03560087600603	1	1.28016861195043	1	-0.518888888888887
5027	purinergic receptor P2X 7	P2RX7	1.80141596230513	1	2.19320564224521	1	2.31778876594205	1	-0.339999999999999
5033	prolyl 4-hydroxylase subunit alpha 1	P4HA1	0.774932924106023	1	0.671791364157245	1	0.699359612767141	1	-0.571111111111105
5106	phosphoenolpyruvate carboxykinase 2, mitochondrial	PCK2	-0.935619372238707	-1	-0.82652332585227	-1	-0.178142471716324	0	-0.276666666666664
5204	prefoldin subunit 5	PFDN5	-0.159765916353628	0	-0.0887124794616874	0	-0.419978470951946	-1	-0.338888888888889
5250	solute carrier family 25 member 3	SLC25A3	-0.199836600687785	0	-0.318879465402516	-1	-0.322973667636038	-1	-0.274444444444443
5256	phosphorylase kinase regulatory subunit alpha 2	PHKA2	-0.449625008596623	0	-0.62506755256207	-1	-0.418835951622231	0	-0.48
5430	RNA polymerase II subunit A	POLR2A	-0.514291978925947	-1	-0.31406640591957	0	-0.286438955193644	0	-0.549999999999998
5571	protein kinase AMP-activated non-catalytic subunit gamma 1	PRKAG1	-0.436557308182982	-1	-0.406484277379064	-1	-0.251240455483389	0	-0.389999999999995
5711	proteasome 26S subunit, non-ATPase 5	PSMD5	-0.260699206229591	-1	-0.247332563653046	-1	-0.0495000417306333	0	-0.388888888888886
5717	proteasome 26S subunit, non-ATPase 11	PSMD11	0.500938178234328	1	0.459299704311544	1	0.24238721353368	0	-0.391111111111107
5721	proteasome activator subunit 2	PSME2	-0.5707103053089	-1	-0.0693726413900286	0	1.12628257855523	1	1.53444444444445
5742	prostaglandin-endoperoxide synthase 1	PTGS1	-0.449169553404616	0	-0.699733988460105	0	-1.05887824042014	-1	-0.395555555555555
5770	protein tyrosine phosphatase non-receptor type 1	PTPN1	0.403965508328668	1	0.565651556795341	1	0.44928513447022	1	-0.21222222222222
5926	AT-rich interaction domain 4A	ARID4A	-0.773628069184054	-1	-0.543432240101941	-1	-0.291290147206997	0	-0.429999999999999
5931	RB binding protein 7, chromatin remodeling factor	RBBP7	-0.437657222591447	0	-0.603338279274729	-1	-0.585946048000533	-1	-0.223333333333333
5993	regulatory factor X5	RFX5	-0.445949916559314	0	-0.604553059926527	-1	0.202487867807905	0	-0.519999999999998
6134	ribosomal protein L10	RPL10	-0.198071011955133	0	-0.20191859181622	0	-0.461666156022202	-1	-0.331111111111115
6141	ribosomal protein L18	RPL18	-0.280066105370681	0	-0.370814959336679	-1	-0.395556631039275	-1	-0.356666666666664
6175	ribosomal protein lateral stalk subunit P0	RPLP0	-0.422571908224734	-1	-0.202658660301006	0	-0.355822156434275	0	1.12
6249	CAP-Gly domain containing linker protein 1	CLIP1	0.458623543336552	1	0.648927619875501	1	0.36138341998514	1	-0.235555555555553
6256	retinoid X receptor alpha	RXRA	-0.180714149891511	0	-0.146133091121017	0	-0.528242000269074	-1	-0.351111111111111
6257	retinoid X receptor beta	RXRB	-0.518642123748556	-1	-0.461276603351687	0	-0.629666427661345	-1	-0.343333333333332
6293	VPS52 subunit of GARP complex	VPS52	-0.478925540361853	-1	-0.719504160009537	-1	-0.473127994192865	-1	-0.31444444444444
6311	ataxin 2	ATXN2	-0.345481745270353	-1	-0.0961784275632329	0	-0.362750587580578	-1	-0.34333333333333
6319	stearoyl-CoA desaturase	SCD	0.533697170453518	0	0.576410363552201	0	1.37213522505668	1	-0.393333333333333
6383	syndecan 2	SDC2	0.309457011018122	0	0.289561056696378	0	-0.462859050910037	-1	0.34888888888889
6446	serum/glucocorticoid regulated kinase 1	SGK1	0.676456396761932	1	0.654063675630598	1	0.569646209401547	1	-0.424444444444443
6497	SKI proto-oncogene	SKI	0.091546519691974	0	-0.50112719496418	0	-0.806365430286981	-1	0.25111111111111
6513	solute carrier family 2 member 1	SLC2A1	3.53840640025524	1	2.87348944061424	1	1.58374998901283	1	-0.309999999999998
6601	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2	SMARCC2	-0.218386503594372	0	-0.477518533355509	-1	-0.169130089697051	0	-0.283333333333331
6626	small nuclear ribonucleoprotein polypeptide A	SNRPA	-0.288949553854183	0	-0.403789273544472	-1	-0.0392585721831686	0	-0.434444444444441
6648	superoxide dismutase 2	SOD2	0.846533249407837	1	0.956570431834837	1	0.984926924180527	1	0.334444444444449
6696	secreted phosphoprotein 1	SPP1	0.461338264140579	1	0.612492752918461	1	0.650580981498599	1	0.220000000000006
6749	structure specific recognition protein 1	SSRP1	-0.463564036592169	0	-0.502673430518099	-1	-0.328992091348121	0	-0.304444444444442
6773	signal transducer and activator of transcription 2	STAT2	-0.228976527604781	0	0.233382319687166	0	1.35394127867717	1	-0.922222222222222
6774	signal transducer and activator of transcription 3	STAT3	0.242859556586177	0	0.279609501752867	0	0.335203816188853	1	-0.33444444444444
6793	serine/threonine kinase 10	STK10	0.526434617137166	1	0.399571411134918	1	0.235343717098825	0	-0.351111111111112
6810	syntaxin 4	STX4	0.5014869439057	1	0.502673344717973	1	0.494045651537542	1	-0.346666666666664
6868	ADAM metallopeptidase domain 17	ADAM17	0.466938714586263	1	0.36694200514499	0	0.229594945928367	0	-0.352222222222219
7016	testis associated actin remodelling kinase 1	TESK1	0.477949436872676	1	0.440717709200401	1	-0.113316528522729	0	-0.406666666666663
7145	tensin 1	TNS1	1.31575265621827	1	1.64497050522482	1	1.33285255397265	1	-0.4
7248	TSC complex subunit 1	TSC1	0.313287185865374	1	0.214657923718441	0	-0.164249353357404	0	-0.53
7277	tubulin alpha 4a	TUBA4A	0.94462402388228	1	0.978218225961339	1	0.224025809506145	0	-0.314444444444447
7280	tubulin beta 2A class IIa	TUBB2A	1.32743471812125	1	1.34469754262498	1	0.329997681683055	0	0.758888888888889
7341	small ubiquitin like modifier 1	SUMO1	-0.449906565979175	-1	-0.325487031439451	-1	-0.181776495788725	0	0.78666666666667
7343	upstream binding transcription factor	UBTF	-0.540205145571926	-1	-0.361754902381483	0	-0.320483688647224	0	-0.269999999999999
7378	uridine phosphorylase 1	UPP1	1.05283522019887	1	1.04548967667817	1	0.892563209346914	1	-0.409999999999995
7405	UV radiation resistance associated	UVRAG	-0.910306017227111	-1	-0.868914864754647	-1	-0.124213642624733	0	-0.469999999999999
7453	tryptophanyl-tRNA synthetase 1	WARS1	0.312136774933817	0	0.617826118334088	0	1.50069484469136	1	-0.333333333333329
7454	WASP actin nucleation promoting factor	WAS	-0.446266596204227	0	-0.680901594992616	-1	-0.655923722917096	-1	-0.386666666666666
7508	XPC complex subunit, DNA damage recognition and repair factor	XPC	-0.704535095304635	-1	-0.785881484701697	-1	-0.587840135567513	-1	-0.378888888888886
7515	X-ray repair cross complementing 1	XRCC1	-0.47522196885523	-1	-0.487624544607991	-1	-0.114646535262539	0	-0.315555555555552
7586	zinc finger with KRAB and SCAN domains 1	ZKSCAN1	-0.261951242348617	0	-0.401099911166062	-1	-0.390760862524754	-1	-0.379999999999999
7737	ring finger protein 113A	RNF113A	-0.374035252793039	0	-0.553203933618128	-1	-0.318482987665353	0	-0.339999999999997
7764	zinc finger protein 217	ZNF217	-0.796884305139127	-1	-0.681042283771671	-1	-0.659695006946782	-1	-0.467777777777774
7841	mannosyl-oligosaccharide glucosidase	MOGS	-0.638806864447034	-1	-0.346250584459245	-1	-0.147650887288135	0	-0.334444444444444
7919	DExD-box helicase 39B	DDX39B	-0.243269491102426	0	-0.594171472255466	-1	-0.248087879469844	0	-0.253333333333332
7936	negative elongation factor complex member E	NELFE	-0.440756546203538	-1	-0.26148883684483	0	-0.0432761950798426	0	-0.397777777777773
7940	leukocyte specific transcript 1	LST1	-0.40900729114477	0	-0.483748149533646	-1	-1.17430114560293	-1	-0.308888888888889
8021	nucleoporin 214	NUP214	-0.629522670606113	-1	-0.655461523767221	-1	-0.357210006845765	0	-0.376666666666663
8030	coiled-coil domain containing 6	CCDC6	-0.726155406671452	-1	-0.528883729019446	-1	-0.411388535617851	0	-0.393333333333332
8106	poly(A) binding protein nuclear 1	PABPN1	0.424298466685176	1	0.317364834165755	0	-0.0825626036511373	0	-0.315555555555552
8189	symplekin	SYMPK	-0.416245609166696	0	-0.632413002457424	-1	0.0289486978253155	0	-0.324444444444445
8202	nuclear receptor coactivator 3	NCOA3	0.538940874811658	1	0.705098365380923	1	0.293725287512363	0	-0.268888888888887
8243	structural maintenance of chromosomes 1A	SMC1A	-0.326427189517405	0	-0.452508907435469	-1	-0.145664372536686	0	-0.382222222222217
8332	H2A clustered histone 16	H2AC16	-1.03275142457264	-1	-0.461290425167364	0	-0.856577947865208	-1	0.844444444444447
8405	speckle type BTB/POZ protein	SPOP	-1.48682227709724	-1	-1.08381419204045	-1	-0.532686456043953	-1	-0.463333333333329
8450	cullin 4B	CUL4B	-0.591707033120001	-1	-0.701030599853082	-1	-0.541786436114188	-1	-0.376666666666663
8455	attractin	ATRN	-0.757874894762969	-1	-0.545554521520666	0	-0.691928719000302	-1	-0.345555555555552
8500	PTPRF interacting protein alpha 1	PPFIA1	0.407356441676617	1	0.425902559267776	1	0.25566482720617	0	-0.327777777777772
8509	N-deacetylase and N-sulfotransferase 2	NDST2	-1.07476062717925	-1	-1.04056046343725	-1	-0.967423031867042	-1	-0.401111111111108
8544	pirin	PIR	0.448211484658287	0	0.478853128738656	1	0.127187066785087	0	-0.782222222222222
8553	basic helix-loop-helix family member e40	BHLHE40	1.03738814245164	1	0.738911297382604	1	0.807613732967646	1	-0.226666666666659
8613	phospholipid phosphatase 3	PLPP3	1.67125613127205	1	1.80290410917151	1	2.10945356798388	1	0.247777777777778
8703	beta-1,4-galactosyltransferase 3	B4GALT3	-0.604198975034903	-1	-0.348370762029393	0	0.138615632610689	0	-0.34333333333333
8727	catenin alpha like 1	CTNNAL1	-0.208523994822045	0	-0.63576031594266	0	-1.39893535127844	-1	-0.477777777777776
8764	TNF receptor superfamily member 14	TNFRSF14	0.316068407968126	0	0.406714971935168	1	0.446983476129921	1	0.31555555555556
8774	NSF attachment protein gamma	NAPG	0.444336930742654	1	0.221468501736323	0	0.206770129947728	0	-0.307777777777776
8861	LIM domain binding 1	LDB1	-0.550182085330842	-1	-0.446255881800717	0	-0.514334257262043	-1	-0.473333333333331
8867	synaptojanin 1	SYNJ1	-0.51432378209215	0	-0.68019467539761	-1	-0.496932040426955	0	-0.536666666666661
8888	minichromosome maintenance complex component 3 associated protein	MCM3AP	-0.281839861810949	0	-0.338106318143465	-1	0.0862601399722021	0	-0.29111111111111
8904	copine 1	CPNE1	-0.567626164855577	-1	-0.575100692230293	-1	-0.131772949240156	0	-0.463333333333333
8943	adaptor related protein complex 3 subunit delta 1	AP3D1	0.386888871033102	1	0.4389368813173	1	0.184371919074973	0	-0.354444444444441
9043	sperm associated antigen 9	SPAG9	1.11064435859085	1	0.87333167699212	1	0.422534816728518	0	-0.40444444444444
9125	CCR4-NOT transcription complex subunit 9	CNOT9	0.386902647427206	1	0.197112096014974	0	0.237777094958791	0	-0.298888888888883
9130	family with sequence similarity 50 member A	FAM50A	0.111306142115007	0	0.310143475508651	1	0.126195636983191	0	-0.460000000000001
9144	synaptogyrin 2	SYNGR2	-0.316791263716707	0	-0.376810278107461	-1	-0.389175196539741	0	-0.631111111111107
9203	zinc finger MYM-type containing 3	ZMYM3	-1.01997067343383	-1	-0.916575427311578	-1	-0.118318937392491	0	-0.568888888888886
9208	LRR binding FLII interacting protein 1	LRRFIP1	0.235167620671763	0	0.321497045385343	1	-0.160917331988959	0	-0.877777777777776
9217	VAMP associated protein B and C	VAPB	0.418521584504175	1	0.223308719416098	0	-0.0226233904177402	0	-0.398888888888886
9240	PNMA family member 1	PNMA1	0.834204052913739	1	0.753918427915403	1	0.637929998744788	0	-0.28111111111111
9266	cytohesin 2	CYTH2	-0.338031276948369	0	-0.0810918398464899	0	-0.507773994318701	-1	-0.568888888888886
9275	BAF chromatin remodeling complex subunit BCL7B	BCL7B	0.411561023825611	1	0.238042951966237	0	0.140616382027059	0	-0.615555555555554
9330	general transcription factor IIIC subunit 3	GTF3C3	-0.2910230221012	0	-0.433773927344477	-1	-0.294815067027711	0	-0.437777777777776
9343	elongation factor Tu GTP binding domain containing 2	EFTUD2	-0.464789624114252	-1	-0.172583700949557	0	0.0437688093946011	0	-0.368888888888886
9380	glyoxylate and hydroxypyruvate reductase	GRHPR	-0.542676481818461	-1	-0.5191546363474	-1	-0.495023072167891	0	-0.469999999999998
9397	N-myristoyltransferase 2	NMT2	0.782523316041983	1	1.11426408645825	1	0.42573944286463	0	-0.393333333333332
9416	DEAD-box helicase 23	DDX23	-0.489128805071863	-1	-0.332079251595195	-1	-0.0646710897513731	0	-0.415555555555553
9459	Rac/Cdc42 guanine nucleotide exchange factor 6	ARHGEF6	-0.473437285563381	0	-0.905216320722014	-1	-0.93886435709158	-1	-0.419999999999995
9477	mediator complex subunit 20	MED20	-0.272987991799804	0	-0.383933125948811	0	-0.717246159963091	-1	-0.535555555555554
9512	peptidase, mitochondrial processing beta subunit	PMPCB	-0.556059142021537	-1	-0.475554210036002	0	-0.181895006927586	0	-0.422222222222217
9516	lipopolysaccharide induced TNF factor	LITAF	0.286683832504306	1	0.296447713669798	1	0.307718944588949	1	-0.437777777777776
9643	mortality factor 4 like 2	MORF4L2	0.389062018337727	1	0.26368400177294	0	0.071283144232396	0	-0.197777777777777
9665	meiosis regulator and mRNA stability factor 1	MARF1	-0.661138779933903	-1	-0.302580428569962	0	-0.0342587341222309	0	-0.356666666666665
9690	ubiquitin protein ligase E3C	UBE3C	0.391259721734873	1	0.261360602748557	0	0.456611816516874	1	-0.291111111111111
9702	centrosomal protein 57	CEP57	-0.413702011309049	-1	-0.704894591439922	-1	-0.389820339327168	-1	-0.447777777777776
9725	transmembrane protein 63A	TMEM63A	0.0730547245268731	0	0.727463814657218	1	0.614716415387949	1	-0.363333333333336
9732	dedicator of cytokinesis 4	DOCK4	0.300636337225539	0	0.697229809248434	1	0.851233569713633	1	-0.378888888888889
9748	STE20 like kinase	SLK	0.30064752352407	1	0.290872527004497	1	0.123436906963382	0	-0.268888888888888
9766	sushi domain containing 6	SUSD6	0.272244824568331	0	0.187919371415326	0	0.460945164374309	1	-0.337777777777776
