ENTREZID	GENENAME	SYMBOL	L.donovani_4vsControl_logFC	L.donovani_8vsControl_logFC	L.donovani_24vsControl_logFC	L.donovani_4vsControl_test	L.donovani_8vsControl_test	L.donovani_24vsControl_test	L.major_4vsControl_logFC	L.major_8vsControl_logFC	L.major_24vsControl_logFC	L.major_4vsControl_test	L.major_8vsControl_test	L.major_24vsControl_test	L.braziliensis_72vsControl_logFC	L.braziliensis_72vsControl_test
2539	glucose-6-phosphate dehydrogenase	G6PD	0.367703828078042	0.509562555632154	0.565339710919902	0	0	0	0.245295964881532	0.248088523563386	0.469888578721768	0	0	0	-0.452222222222224	-1
3069	high density lipoprotein binding protein	HDLBP	-0.0745394419193754	-0.139295761899309	-0.239468972032235	0	0	0	-0.055453884499638	-0.186987581965209	-0.259982252632588	0	0	0	-0.322222222222221	-1
3156	3-hydroxy-3-methylglutaryl-CoA reductase	HMGCR	-0.305999791329645	-0.298126383704414	0.146846235544574	0	0	0	0.294423255842529	-0.422550857776685	-1.13231184518629	0	0	-1	-0.626666666666665	-1
3157	3-hydroxy-3-methylglutaryl-CoA synthase 1	HMGCS1	0.476022891515143	-0.0487394194469424	0.43519296969084	0	0	0	0.87254030989553	0.355557286462238	-0.264385523742481	0	0	0	-1.07	-1
3422	isopentenyl-diphosphate delta isomerase 1	IDI1	0.384684572876939	0.00929722445884273	0.045598337871386	0	0	0	0.359933219797199	0.0242963299623131	-0.529661622224703	0	0	-1	-0.571111111111104	-1
3837	karyopherin subunit beta 1	KPNB1	0.118466189373873	0.0819333502401101	0.398651312565782	0	0	1	0.10900061041924	0.203216359403768	0.306279616357301	0	0	0	-0.107777777777779	0
3949	low density lipoprotein receptor	LDLR	0.58247138655997	0.255898605748509	1.18449544704266	0	0	0	1.30442868316419	0.484086319640939	-0.0634489349176093	0	0	0	-0.558888888888884	-1
4047	lanosterol synthase	LSS	1.0325449133315	1.35551312073134	1.21906933367407	1	1	1	1.35237602105968	1.78706381119219	1.4371153194394	1	1	1	-0.105555555555553	0
4790	nuclear factor kappa B subunit 1	NFKB1	0.786165146545752	0.663667587347494	0.611383308285621	1	1	1	1.20440687537338	1.12202190531884	0.821096699512927	1	1	1	-0.322222222222224	0
4802	nuclear transcription factor Y subunit gamma	NFYC	-0.265482297209058	-0.165608849604419	-0.231908433708481	0	0	0	-0.190147297238425	-0.236447148323435	-0.597708294634829	0	0	-1	-0.412222222222217	-1
5336	phospholipase C gamma 2	PLCG2	-0.149982552050949	-0.296086591727262	-0.334842197545559	0	0	0	-0.195961877550873	-0.401988998713492	-0.496431962190075	0	-1	-1	-0.308888888888887	-1
5465	peroxisome proliferator activated receptor alpha	PPARA	0.194469261326949	0.151849426428697	0.460885851169097	0	0	0	0.192729771268633	0.301611987642607	0.791323153296139	0	0	1	-0.203333333333332	-1
5742	prostaglandin-endoperoxide synthase 1	PTGS1	-0.449169553404616	-0.699733988460105	-1.05887824042014	0	0	-1	-0.589435032107687	-0.947082984495514	-2.21648641985157	0	-1	-1	-0.395555555555555	-1
6256	retinoid X receptor alpha	RXRA	-0.180714149891511	-0.146133091121017	-0.528242000269074	0	0	-1	-0.308556522769265	-0.563795780238035	-1.19273546579089	0	-1	-1	-0.351111111111111	-1
6257	retinoid X receptor beta	RXRB	-0.518642123748556	-0.461276603351687	-0.629666427661345	-1	0	-1	-0.674566045163473	-0.747890248918859	-0.516731705607151	-1	-1	-1	-0.343333333333332	-1
6307	methylsterol monooxygenase 1	MSMO1	0.172011274707248	-0.202733612393677	0.587038010126971	0	0	0	0.516038292897985	0.166172494394965	-0.51109535131382	0	0	0	-0.96222222222222	-1
6309	sterol-C5-desaturase	SC5D	0.62532265339906	0.180574949588685	0.489012993667611	0	0	0	0.475807858793512	0.0163494154564656	0.0466866845887477	0	0	0	-0.607777777777774	-1
6319	stearoyl-CoA desaturase	SCD	0.533697170453518	0.576410363552201	1.37213522505668	0	0	1	0.494547080676956	0.569188183164512	0.874239768654881	0	0	0	-0.393333333333333	-1
6646	sterol O-acyltransferase 1	SOAT1	0.524070205831778	0.877775746148494	1.19515414227545	0	1	1	0.579297935074463	1.06616177266802	1.5509786321416	0	1	1	-0.0855555555555565	0
6667	Sp1 transcription factor	SP1	-0.285214561681085	-0.324370009854574	0.139548214935111	0	0	0	-0.523972574932971	-0.565389448790267	-0.220888344445923	-1	-1	0	-0.292222222222219	-1
7351	uncoupling protein 2	UCP2	-0.282415590608212	-0.245585493391811	-0.326195669886843	0	0	0	-0.266661630766103	-0.531189537386037	-0.279758913549816	0	0	0	-0.473333333333331	-1
8394	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha	PIP5K1A	0.161411379564425	0.191363224282895	0.188414853006915	0	0	0	0.454649645474451	0.573691069312693	0.30655452640196	1	1	0	-0.468888888888884	-1
8396	phosphatidylinositol-5-phosphate 4-kinase type 2 beta	PIP4K2B	-0.313745117235065	-0.304497515772375	0.126288103249996	0	0	0	-0.638279864142362	-0.774564936033821	-0.189281535766256	-1	-1	0	-0.225555555555554	-1
8542	apolipoprotein L1	APOL1	-0.32025346117312	0.321281282849068	1.47185882405569	0	0	1	-0.0799084336792877	0.405102344869137	1.43189565102835	0	0	1	0.0566666666666662	0
8613	phospholipid phosphatase 3	PLPP3	1.67125613127205	1.80290410917151	2.10945356798388	1	1	1	1.34455148433507	1.95381778480795	2.25755212430532	1	1	1	0.247777777777778	1
8760	CDP-diacylglycerol synthase 2	CDS2	-0.0737667626518785	0.23095538934936	0.391460312025048	0	0	0	-0.246971129194685	0.280378533101111	0.449028110285816	0	0	1	-0.28111111111111	-1
9663	lipin 2	LPIN2	-0.0759876248971043	-0.364303271427724	-0.0761796965363395	0	0	0	-0.0732576162781378	-0.0345814975498477	-0.0321117304018586	0	0	0	-0.23111111111111	-1
9791	phosphatidylserine synthase 1	PTDSS1	-0.0695261728607264	-0.193294013943893	-0.0299685798409506	0	0	0	-0.290463044748245	-0.309576236869653	-0.317734778855087	0	0	0	-0.376666666666665	-1
9885	oxysterol binding protein like 2	OSBPL2	-0.2933401022855	-0.100190869812534	-0.0620084818774664	-1	0	0	-0.0964354858963627	-0.147493569095982	0.141122998258529	0	0	0	-0.369999999999998	-1
10062	nuclear receptor subfamily 1 group H member 3	NR1H3	0.883134376966169	1.41475057146925	1.81028351579712	1	1	1	0.798785165533785	1.34024742906195	2.00129169695469	1	1	1	0.0588888888888883	0
10484	Sec23 homolog A, coat complex II component	SEC23A	0.372348557678334	0.135058025094526	0.286572286089761	0	0	0	0.298003979794725	0.256738390370622	0.529624139046238	0	0	1	-0.624444444444442	-1
10558	serine palmitoyltransferase long chain base subunit 1	SPTLC1	-0.238699610257763	-0.185991824444001	-0.0911313159530422	0	0	0	-0.146634277219441	-0.121387076899605	-0.129746187868328	0	0	0	-0.318888888888885	-1
10613	ER lipid raft associated 1	ERLIN1	0.255270958416572	0.528721407918329	0.838784064403438	0	0	1	0.0862203732489117	0.365787445241107	0.820909544837022	0	0	1	-0.368888888888886	0
10682	EBP cholestenol delta-isomerase	EBP	-0.239640042479126	-0.379605782432153	-0.108814907129045	0	0	0	-0.240722654815841	-0.606437905948638	-0.553457631089184	0	-1	-1	-0.385555555555552	-1
10802	SEC24 homolog A, COPII coat complex component	SEC24A	0.440097615060925	0.40539946938085	0.396529823777785	1	1	1	0.398398578584677	0.563457569358469	0.515664728680399	1	1	1	-0.351111111111108	-1
10938	EH domain containing 1	EHD1	1.77281518659878	1.40651267133112	1.40696454371683	1	1	1	2.93278336142157	2.50418192749588	1.63086121399692	1	1	1	0.0611111111111127	0
22913	RALY heterogeneous nuclear ribonucleoprotein	RALY	0.134141430816515	-0.0670226350380503	-0.355814749757233	0	0	-1	0.0582367383060358	-0.0713807896756169	-0.274730463945598	0	0	0	-0.373333333333331	0
23780	apolipoprotein L2	APOL2	0.21151513153904	1.1481888961064	1.37938258581648	0	1	1	0.265369003990131	1.21197059834289	1.48882795383481	0	1	1	-0.0488888888888885	0
50814	NAD(P) dependent steroid dehydrogenase-like	NSDHL	0.00677322581115369	-0.0763987001486122	-0.0260708735519284	0	0	0	-0.0377156007177089	-0.412773686854974	-0.586409099430959	0	-1	-1	-0.491111111111107	-1
51141	insulin induced gene 2	INSIG2	-0.187572513003643	0.0690970662231631	0.550687302570598	0	0	0	-0.111223119647141	0.379347828733607	0.987796061884563	0	0	0	-0.385555555555554	-1
55361	phosphatidylinositol 4-kinase type 2 alpha	PI4K2A	0.0530039084363114	0.0132506259217671	0.15827057900923	0	0	0	-0.156251335428623	-0.190613852424313	0.137969734411024	0	0	0	-0.493333333333333	-1
55902	acyl-CoA synthetase short chain family member 2	ACSS2	-0.493107426793852	-0.49472705126751	0.129407302117958	0	0	0	-0.560506756304568	-0.97475188298087	-0.1116443350562	0	-1	0	-0.558888888888887	-1
