	title	geo_accession	source_name	organism	species	strain	time	group
GSM1575448	MDDC_Leishmania-donovani-strain-1S-infected_24HR-post-infection_donor-902	GSM1575448	human-monocyte-derived-dendritic-cell_Leishmania-donovani-strain-1S-infected_24HR-post-infection	Homo sapiens	Leishmania donovani	1S	24 hours	L.donovani_24
GSM1575449	MDDC_Leishmania-major-strain-FV1-infected_4HR-post-infection_donor-902	GSM1575449	human-monocyte-derived-dendritic-cell_Leishmania-major-strain-FV1-infected_4HR-post-infection	Homo sapiens	Leishmania major	FV1	4 hours	L.major_4
GSM1575450	MDDC_Leishmania-major-strain-FV1-infected_8HR-post-infection_donor-902	GSM1575450	human-monocyte-derived-dendritic-cell_Leishmania-major-strain-FV1-infected_8HR-post-infection	Homo sapiens	Leishmania major	FV1	8 hours	L.major_8
GSM1575451	MDDC_Leishmania-major-strain-FV1-infected_24HR-post-infection_donor-902	GSM1575451	human-monocyte-derived-dendritic-cell_Leishmania-major-strain-FV1-infected_24HR-post-infection	Homo sapiens	Leishmania major	FV1	24 hours	L.major_24
GSM1575452	MDDC_uninfected_donor-902	GSM1575452	human-monocyte-derived-dendritic-cell_uninfected	Homo sapiens	Uninfected	Uninfected	Uninfected	control
GSM1575453	MDDC_Leishmania-donovani-strain-1S-infected_4HR-post-infection_donor-977	GSM1575453	human-monocyte-derived-dendritic-cell_Leishmania-donovani-strain-1S-infected_4HR-post-infection	Homo sapiens	Leishmania donovani	1S	4 hours	L.donovani_4
GSM1575454	MDDC_Leishmania-donovani-strain-1S-infected_8HR-post-infection_donor-977	GSM1575454	human-monocyte-derived-dendritic-cell_Leishmania-donovani-strain-1S-infected_8HR-post-infection	Homo sapiens	Leishmania donovani	1S	8 hours	L.donovani_8
GSM1575455	MDDC_Leishmania-donovani-strain-1S-infected_24HR-post-infection_donor-977	GSM1575455	human-monocyte-derived-dendritic-cell_Leishmania-donovani-strain-1S-infected_24HR-post-infection	Homo sapiens	Leishmania donovani	1S	24 hours	L.donovani_24
GSM1575456	MDDC_Leishmania-major-strain-FV1-infected_4HR-post-infection_donor-977	GSM1575456	human-monocyte-derived-dendritic-cell_Leishmania-major-strain-FV1-infected_4HR-post-infection	Homo sapiens	Leishmania major	FV1	4 hours	L.major_4
GSM1575457	MDDC_Leishmania-major-strain-FV1-infected_8HR-post-infection_donor-977	GSM1575457	human-monocyte-derived-dendritic-cell_Leishmania-major-strain-FV1-infected_8HR-post-infection	Homo sapiens	Leishmania major	FV1	8 hours	L.major_8
GSM1575458	MDDC_Leishmania-major-strain-FV1-infected_24HR-post-infection_donor-977	GSM1575458	human-monocyte-derived-dendritic-cell_Leishmania-major-strain-FV1-infected_24HR-post-infection	Homo sapiens	Leishmania major	FV1	24 hours	L.major_24
GSM1575459	MDDC_uninfected_donor-977	GSM1575459	human-monocyte-derived-dendritic-cell_uninfected	Homo sapiens	Uninfected	Uninfected	Uninfected	control
GSM1575460	MDDC_Leishmania-donovani-strain-1S-infected_4HR-post-infection_donor-979	GSM1575460	human-monocyte-derived-dendritic-cell_Leishmania-donovani-strain-1S-infected_4HR-post-infection	Homo sapiens	Leishmania donovani	1S	4 hours	L.donovani_4
GSM1575461	MDDC_Leishmania-donovani-strain-1S-infected_8HR-post-infection_donor-979	GSM1575461	human-monocyte-derived-dendritic-cell_Leishmania-donovani-strain-1S-infected_8HR-post-infection	Homo sapiens	Leishmania donovani	1S	8 hours	L.donovani_8
GSM1575462	MDDC_Leishmania-donovani-strain-1S-infected_24HR-post-infection_donor-979	GSM1575462	human-monocyte-derived-dendritic-cell_Leishmania-donovani-strain-1S-infected_24HR-post-infection	Homo sapiens	Leishmania donovani	1S	24 hours	L.donovani_24
GSM1575463	MDDC_Leishmania-major-strain-FV1-infected_4HR-post-infection_donor-979	GSM1575463	human-monocyte-derived-dendritic-cell_Leishmania-major-strain-FV1-infected_4HR-post-infection	Homo sapiens	Leishmania major	FV1	4 hours	L.major_4
GSM1575464	MDDC_Leishmania-major-strain-FV1-infected_8HR-post-infection_donor-979	GSM1575464	human-monocyte-derived-dendritic-cell_Leishmania-major-strain-FV1-infected_8HR-post-infection	Homo sapiens	Leishmania major	FV1	8 hours	L.major_8
GSM1575465	MDDC_Leishmania-major-strain-FV1-infected_24HR-post-infection_donor-979	GSM1575465	human-monocyte-derived-dendritic-cell_Leishmania-major-strain-FV1-infected_24HR-post-infection	Homo sapiens	Leishmania major	FV1	24 hours	L.major_24
GSM1575466	MDDC_uninfected_donor-979	GSM1575466	human-monocyte-derived-dendritic-cell_uninfected	Homo sapiens	Uninfected	Uninfected	Uninfected	control
